Rank,Player Name,Position,Year,Athletic, Bleacher Report,CBS,Drafttech,ESPN,PFF,PFN,SIS,TANKATHON,,
83,Oscar Delp,TE,SR.,-,112,147,130,-,175,48,123,137,,
84,Cade Klubnik,QB,SR.,-,110,127,118,-,119,171,87,146,,
85,Demond Claiborne,RB,SR.,-,171,117,120,-,123,104,110,130,,
86,Tyreak Sapp,ED,RS SR.,-,131,121,94,-,98,170,135,128,,
87,Harold Perkins Jr.,LB,RS JR.,-,157,138,88,-,148,143,126,101,,
88,Mike Washington Jr.,RB,SR.,-,87,-,136,-,141,120,96,139,,
89,Justin Joly,TE,SR.,87,100,-,168,-,86,130,-,122,,
90,Bud Clark,S,SR.,-,99,-,79,-,109,169,-,119,,
91,Josh Cameron,WR,SR.,-,93,86,175,-,214,151,100,158,,
92,Michael Taaffe,S,SR.,-,134,-,78,-,120,136,-,124,,
93,Kevin Coleman Jr.,WR,SR.,-,177,105,89,-,188,91,-,152,,
94,Domani Jackson,CB,SR.,-,90,-,65,-,196,196,104,153,,
95,Sam Roush,TE,SR.,-,108,-,242,93,101,167,131,133,,
96,Devin Moore,CB,SR.,73,-,-,109,71,359,81,105,95,,
97,CJ Daniels,WR,RS SR.,-,174,-,143,-,73,142,-,120,,
98,Treydan Stukes,CB,SR.,77,69,75,325,-,289,94,-,94,,
99,Brenen Thompson,WR,SR.,74,127,61,312,-,184,118,-,148,,
100,Caden Curry,ED,SR.,-,169,53,151,-,369,144,57,115,,
101,Hezekiah Masses,CB,SR.,-,117,-,171,-,142,96,-,150,,
102,Drew Allar,QB,SR.,-,120,-,105,-,121,200,-,132,,
103,Tacario Davis,CB,SR.,-,141,-,104,-,160,139,-,140,,
104,Eli Raridon,TE,SR.,-,86,-,274,-,122,93,-,129,,
105,Eric Rivers,WR,SR.,-,-,67,132,-,131,183,-,157,,
106,Dallen Bentley,TE,SR.,-,-,145,235,77,195,49,-,156,,
107,Dae'Quan Wright,TE,SR.,-,128,-,137,-,162,146,-,173,,
108,Reggie Virgil,WR,SR.,94,44,-,211,-,216,157,-,-,,
109,Louis Moore,S,SR.,-,78,-,155,-,-,42,80,134,,
110,Aaron Anderson,WR,RS JR.,-,214,-,125,-,147,140,-,162,,
111,Le'Veon Moss,RB,SR.,-,135,-,150,-,155,216,124,-,,
112,Josh Cuevas,TE,RS SR.,-,137,-,164,-,113,162,-,-,,
113,Bryce Lance,WR,SR.,99,-,-,229,-,140,102,-,143,,
114,Mikail Kamara,ED,RS SR.,-,195,-,101,-,96,-,-,118,,
115,Keyron Crawford,ED,SR.,67,-,90,183,-,321,109,-,177,,
116,TJ Hall,CB,SR.,-,132,-,122,-,230,166,-,166,,
117,Lander Barton,LB,SR.,-,145,133,114,-,250,-,-,110,,
118,Thaddeus Dixon,CB,RS SR.,-,130,-,156,-,126,-,-,171,,
119,Nick Singleton,RB,SR.,-,166,-,-,66,110,194,95,97,,
120,Nadame Tucker,ED,RS SR.,-,178,-,163,-,158,184,-,-,,
121,Tanner Koziol,TE,SR.,-,126,-,198,-,159,206,-,-,,
122,Marlin Klein,TE,SR.,-,154,-,311,-,108,173,-,172,,
123,Aiden Fisher,LB,SR.,-,186,-,159,-,130,-,-,163,,
124,Max Llewellyn,ED,SR.,-,170,-,117,-,182,-,-,170,,
125,Jadon Canady,CB,RS SR.,-,125,-,233,-,187,164,-,-,,
126,J'Mari Taylor,RB,GR.,-,-,-,140,-,145,213,-,167,,
127,Bryce Boettcher,LB,SR.,97,168,-,153,-,209,-,-,-,,
128,Sawyer Robertson,QB,RS SR.,-,194,-,148,-,224,207,-,169,,
129,Roman Hemby,RB,RS SR.,-,184,-,165,99,200,-,-,-,,
130,John Michael Gyllenborg,TE,RS SR.,-,172,-,353,-,168,222,108,165,,
131,Seth McGowan,RB,SR.,-,-,-,157,-,95,198,-,-,,
132,Eric McAlister,WR,SR.,-,-,73,434,-,127,159,-,164,,
133,Taylen Green,QB,RS SR.,-,164,-,154,-,227,221,-,-,,
134,Lewis Bond,WR,RS SR.,-,152,-,286,-,226,105,-,-,,
135,Ephesians Prysock,CB,SR.,-,122,-,152,-,212,-,-,-,,
136,Cyrus Allen,WR,SR.,-,41,-,283,-,164,-,-,-,,
137,Cole Payton,QB,SR.,-,153,-,213,-,231,202,-,-,,
138,Jaydn Ott,RB,SR.,-,190,-,330,-,170,224,143,-,,
139,Bishop Fitzgerald,S,RS SR.,-,-,-,129,-,166,-,-,174,,
140,Barion Brown,WR,SR.,-,165,-,209,-,349,220,119,-,,
141,Caleb Douglas,WR,SR.,-,159,-,261,-,198,203,-,-,,
142,Ethan Burke,ED,SR.,-,-,94,187,-,379,129,-,-,,
143,Trey Moore,ED,SR.,-,-,-,180,-,139,-,-,175,,
144,Jalon Daniels,QB,RS SR.,-,218,-,256,-,177,189,-,-,,
145,Diego Pavia,QB,GR.,-,192,-,208,-,240,217,-,-,,
146,Patrick Payton,ED,RS SR.,-,-,-,177,-,237,-,112,-,,
147,Jam Miller,RB,SR.,-,208,-,231,-,265,-,125,-,,
148,Jeff Caldwell,WR,SR.,-,-,71,294,-,180,-,-,-,,
149,Caullin Lacy,WR,RS SR.,-,-,-,227,-,307,204,132,-,,
150,Riley Nowakowski,TE,RS SR.,-,191,-,170,-,247,-,-,-,,
151,Noah Whittington,RB,RS SR.,-,142,-,194,-,277,-,-,-,,
152,Vinny Anthony II,WR,SR.,-,-,120,356,-,221,211,-,-,,
153,Xavier Nwankpa,S,SR.,-,104,-,247,-,274,-,-,-,,
154,Harrison Wallace III,WR,SR.,-,-,-,205,-,292,145,-,-,,
155,Rahsul Faison,RB,GR.,-,-,-,238,-,213,195,-,-,,
156,Nate Boerkircher,TE,GR.,-,-,-,249,-,183,215,-,-,,
157,Chase Roberts,WR,RS SR.,-,-,-,162,-,165,-,-,-,,
158,Luke Altmyer,QB,SR.,-,203,-,324,-,220,209,-,-,,
159,Charles Demmings,CB,SR.,-,-,-,220,92,383,228,-,-,,
160,Xavian Sorey Jr.,LB,RS SR.,-,200,-,218,-,233,-,-,-,,
161,Eric Gentry,LB,RS SR.,-,-,-,217,-,272,-,127,-,,
162,Jakobe Thomas,S,SR.,-,76,-,201,-,-,197,-,-,,
163,Adam Randall,RB,GR.,-,196,-,263,-,297,226,-,-,,
164,Collin Wright,CB,SR.,-,-,-,160,-,381,131,-,-,,
165,Brent Austin,CB,SR.,-,-,85,200,-,-,163,-,-,,
166,Red Murdock,LB,SR.,-,-,131,224,-,-,110,-,-,,
167,Logan Fano,ED,RS JR.,-,211,-,223,-,246,-,-,-,,
168,DeShon Singleton,S,SR.,-,216,-,146,-,-,147,-,-,,
169,Jack Pyburn,ED,SR.,-,201,-,271,-,304,234,-,-,,
170,Xavier Scott,CB,SR.,-,-,130,-,-,103,-,-,138,,
171,Hank Beatty,WR,SR.,-,204,-,214,-,288,-,-,-,,
172,Dan Villari,TE,RS SR.,-,185,-,246,-,-,98,-,-,,
173,Cole Wisniewski,S,SR.,-,-,-,354,-,202,-,120,-,,
174,Desmond Reid,RB,SR.,-,-,-,357,-,179,185,-,-,,
175,Kaelon Black,RB,RS SR.,-,198,-,285,-,228,-,-,-,,
176,Terion Stewart,RB,GR.,-,-,-,182,-,205,-,-,-,,
177,TJ Guy,ED,GR.,-,-,-,192,-,199,-,-,-,,
178,Owen Heinecke,LB,RS JR.,-,-,-,188,-,204,-,-,-,,
179,Josh Moten,CB,RS SR.,-,-,-,166,-,235,-,-,-,,
180,Tyren Montgomery,WR,GR.,-,-,-,250,-,157,-,-,-,,
181,DeVonta Smith,CB,SR.,-,-,144,374,-,210,-,-,-,,
182,Devon Marshall,CB,SR.,-,-,-,481,-,178,101,-,-,,
183,Robert Spears-Jennings,S,SR.,-,158,143,-,-,186,-,-,-,,
184,Dezhaun Stribling,WR,SR.,-,70,-,-,-,107,-,-,-,,
185,Jalen Huskey,S,SR.,-,-,-,127,-,306,-,-,-,,
186,Justin Jefferson,LB,RS SR.,-,163,-,186,-,417,-,-,-,,
187,Jalen Stroman,S,SR.,-,-,-,307,-,134,-,-,-,,
188,Eric O'Neill,ED,SR.,-,220,-,308,-,245,-,-,-,,
189,Robert Henry Jr.,RB,SR.,-,-,-,408,-,197,192,-,-,,
190,Lance Mason,TE,SR.,-,-,72,347,-,-,178,-,-,,
191,Romello Brinson,WR,RS SR.,-,213,-,316,-,413,205,-,-,,
192,Nick Singleton,RB,-,-,-,-,119,-,-,179,-,-,,
193,Jimmy Rolder,LB,RS JR.,-,-,-,145,-,-,-,129,-,,
194,Kaleb Elarms-Orr,LB,SR.,-,-,-,234,-,380,225,-,-,,
195,Chip Trayanum,RB,SR.,-,-,-,243,-,255,-,-,-,,
196,Miller Moss,QB,RS SR.,-,-,-,267,-,239,-,-,-,,
197,Mason Reiger,ED,GR.,-,-,-,258,-,258,-,-,-,,
198,Jack Kelly,LB,RS SR.,-,-,-,236,-,408,227,-,-,,
199,Colbie Young,WR,SR.,-,-,-,185,-,333,-,-,-,,
200,Mark Gronowski,QB,GR.,-,223,-,334,-,314,-,-,-,,
201,Wesley Williams,ED,JR.,-,-,141,195,-,-,-,-,-,,
202,Desmond Purnell,LB,SR.,-,-,-,239,-,416,232,-,-,,
203,Miles Kitselman,TE,SR.,-,-,-,-,-,151,168,-,-,,
204,Seydou Traore,TE,RS SR.,-,-,-,295,-,242,-,-,-,,
205,Noah Thomas,WR,SR.,-,-,-,337,-,201,-,-,-,,
206,Athan Kaliakmanis,QB,SR.,-,-,-,491,-,263,150,-,-,,
207,Lake McRee,TE,RS SR.,-,-,-,349,-,208,-,-,-,,
208,George Gumbs Jr.,ED,RS SR.,-,-,-,-,-,172,-,140,-,,
209,Kendal Daniels,S,RS SR.,-,-,-,222,-,338,-,-,-,,
210,Joe Fagnano,QB,GR.,-,-,-,306,-,260,-,-,-,,
211,Quintayvious Hutchins,ED,RS SR.,-,-,-,405,-,163,-,-,-,,
212,Dane Key,WR,SR.,-,-,-,378,-,191,-,-,-,,
213,CJ Donaldson,RB,SR.,-,210,-,427,-,300,-,-,-,,
214,Wade Woodaz,LB,SR.,-,-,-,413,-,370,-,139,-,,
215,Keelan Marion,WR,-,-,146,-,275,-,-,-,-,-,,
216,Kaden Wetjen,WR,-,-,162,-,260,-,-,-,-,-,,
217,Cian Slone,LB,SR.,-,-,123,282,-,-,-,-,-,,
218,Behren Morton,QB,SR.,-,-,-,302,-,283,-,-,-,,
219,Vincent Anthony Jr.,ED,SR.,-,-,-,-,-,207,177,-,-,,
220,Scooby Williams,LB,SR.,-,-,-,293,-,298,-,-,-,,
221,Max Tomczak,WR,SR.,-,-,-,410,-,397,-,136,-,,
222,Isaiah Nwokobia,S,RS SR.,-,-,-,417,-,181,-,-,-,,
223,Jalen Catalon,S,GR.,-,-,-,365,-,238,-,-,-,,
224,Bauer Sharp,TE,RS SR.,-,-,-,279,-,327,-,-,-,,
225,DQ Smith,S,SR.,-,-,-,272,-,340,-,-,-,,
226,Jalen McMurray,CB,RS SR.,-,-,-,314,-,-,160,-,-,,
227,Chamon Metayer,TE,RS SR.,-,-,-,435,-,398,-,137,-,,
228,Skyler Thomas,S,-,-,-,-,388,-,-,87,-,-,,
229,Jaden Dugger,LB,SR.,-,-,-,313,-,310,-,-,-,,
230,Jordan Hudson,WR,SR.,-,-,-,362,-,-,123,-,-,,
231,Carsen Ryan,TE,RS SR.,-,-,-,-,-,273,186,-,-,,
232,Sabastian Harsh,ED,SR.,-,-,149,341,-,-,-,-,-,,
233,DJ Harvey,CBN,RS SR.,-,-,-,439,-,206,-,-,-,,
234,Keyshawn James-Newby,ED,SR.,-,-,-,385,-,261,-,-,-,,
235,Wesley Bissainthe,LB,SR.,-,-,-,-,-,322,-,118,-,,
236,Tyreek Chappell,CBN,RS SR.,-,-,-,407,-,244,-,-,-,,
237,Jamal Haynes,RB,RS SR.,-,-,-,393,-,259,-,-,-,,
238,Zavion Thomas,WR,SR.,-,-,-,482,-,174,-,-,-,,
239,Jalen Walthall,WR,RS SR.,-,-,-,278,-,385,-,-,-,,
240,Will Kacmarek,TE,RS SR.,-,-,-,299,-,-,235,-,-,,
241,VJ Payne,S,SR.,-,-,-,-,-,264,223,-,-,,
242,Namdi Obiazor,LB,SR.,-,-,-,244,-,428,-,-,-,,
243,DJ Rogers,TE,SR.,-,-,-,331,-,-,218,-,-,,
244,Dillon Bell,WR,SR.,-,-,-,424,-,254,-,-,-,,
245,Jaren Kanak,TE,SR.,-,-,-,426,-,257,-,-,-,,
246,Jacob Thomas,S,-,-,175,-,373,-,-,-,-,-,,
247,Austin Brown,S,SR.,-,-,-,394,-,290,-,-,-,,
248,Nyjalik Kelly,ED,SR.,-,-,-,298,-,400,-,-,-,,
249,Anthony Hankerson,RB,SR.,-,-,-,339,-,361,-,-,-,,
250,Michael Wortham,WR,SR.,-,-,-,436,-,-,152,-,-,,
251,Stephen Daley,ED,-,-,-,-,169,-,-,-,-,-,,
252,Isaiah Smith,ED,-,-,-,-,172,-,-,-,-,-,,
253,V.J. Payne,S,-,-,-,-,179,-,-,-,-,-,,
254,Preston Hodge,CB,SR.,-,-,-,490,-,-,133,-,-,,
255,Bryan Thomas Jr.,ED,-,-,-,-,199,-,-,-,-,-,,
256,Camron Stewart,ED,-,-,-,-,202,-,-,-,-,-,,
257,West Weeks,LB,-,-,-,-,216,-,-,-,-,-,,
258,Khalil Dinkins,TE,-,-,188,-,486,-,-,-,-,-,,
259,Jermaine Mathews Jr.,CB,JR.,-,-,-,-,-,194,-,-,-,,
260,Ahmari Harvey,CB,-,-,-,-,241,-,-,-,-,-,,
261,J. Michael Sturdivant,WR,RS SR.,-,-,-,-,-,203,-,-,-,,
262,Omega Blake,WR,-,-,-,-,254,-,-,-,-,-,,
263,Mohamed Toure,LB,-,-,-,-,255,-,-,-,-,-,,
264,Ceyair Wright,CB,SR.,-,-,-,-,-,215,-,-,-,,
265,Jahiem Lawson,ED,SR.,-,-,-,-,-,-,115,-,-,,
266,Shad Banks Jr.,LB,-,-,-,-,270,-,-,-,-,-,,
267,Jeadyn Lukus,CB,SR.,-,-,-,-,-,232,-,-,-,,
268,Tommy Castellanos,QB,SR.,-,-,-,-,-,234,-,-,-,,
269,Wesley Bailey,ED,-,-,-,-,277,-,-,-,-,-,,
270,Joey Aguilar,QB,-,-,-,-,281,-,-,-,-,-,,
271,Raion Strader,CB,-,-,-,-,-,-,243,-,-,-,,
272,Nic Anderson,WR,-,-,-,-,287,-,-,-,-,-,,
273,Andre Fuller,CB,-,-,-,-,289,-,-,-,-,-,,
274,Jackson Kuwatch,LB,-,-,-,-,290,-,-,-,-,-,,
275,Peyton Bowen,S,JR.,-,-,-,-,-,251,-,-,-,,
276,Jake Retzlaff,QB,RS SR.,-,-,-,-,-,252,-,-,-,,
277,Jerry Wilson,CB,SR.,-,-,-,-,-,256,-,-,-,,
278,Trey Smack,K,-,-,-,-,297,-,-,-,-,-,,
279,Eli Heidenreich,WR,-,-,-,-,300,-,-,-,-,-,,
280,Kyron Drones,QB,RS SR.,-,-,-,-,-,262,-,-,-,,
281,Kansei Matsuzawa,K,-,-,-,-,304,-,-,-,-,-,,
282,Jack Strand,QB,SR.,-,-,-,-,-,-,165,-,-,,
283,Daniel Harris,CB,-,-,-,-,-,-,268,-,-,-,,
284,RJ Maryland,TE,SR.,-,-,-,-,-,269,-,-,-,,
285,Karson Sharar,LB,-,-,-,-,315,-,-,-,-,-,,
286,Fred Davis II,CB,-,-,-,-,317,-,-,-,-,-,,
287,Jack Velling,TE,SR.,-,-,-,-,-,279,-,-,-,,
288,Dean Connors,RB,SR.,-,-,-,-,-,281,-,-,-,,
289,Caden Fordham,LB,-,-,-,-,321,-,-,-,-,-,,
290,Squirrel White,WR,SR.,-,-,-,-,-,284,-,-,-,,
291,Kolbey Taylor,CB,-,-,-,-,323,-,-,-,-,-,,
292,Cam Miller,CB,SR.,-,-,-,-,-,-,190,-,-,,
293,Kyle Walljasper,QB,RS SR.,-,-,-,-,-,-,191,-,-,,
294,Malik Spencer,S,-,-,-,-,329,-,-,-,-,-,,
295,Mel Brown,RB,-,-,-,-,-,-,291,-,-,-,,
296,Nick Andersen,S,-,-,-,-,332,-,-,-,-,-,,
297,Al'Zillion Hamilton,CBN,-,-,-,-,333,-,-,-,-,-,,
299,Wydett Williams Jr.,S,-,-,-,-,336,-,-,-,-,-,,
300,Nikai Martinez,S,SR.,-,-,-,-,-,299,-,-,-,,
301,Micah Davey,LB,-,-,-,-,338,-,-,-,-,-,,
302,Jeremiah Franklin,TE,SR.,-,-,-,-,-,301,-,-,-,,
303,Jacob De Jesus,WR,-,-,-,-,340,-,-,-,-,-,,
304,Karon Prunty,CB,-,-,-,-,343,-,-,-,-,-,,
305,Stephen Hall,CB,RS SR.,-,-,-,-,-,305,-,-,-,,
306,Emmanuel Henderson,WR,-,-,-,-,344,-,-,-,-,-,,
307,Grayson James,QB,RS SR.,-,-,-,-,-,308,-,-,-,,
308,Logan Diggs,RB,SR.,-,-,-,-,-,309,-,-,-,,
309,Dalton Johnson,S,-,-,-,-,350,-,-,-,-,-,,
310,Tre Smith,ED,RS SR.,-,-,-,-,-,313,-,-,-,,
311,Kalil Alexander,ED,-,-,215,-,-,-,-,-,-,-,,
312,Walker Eget,QB,RS SR.,-,-,-,-,-,315,-,-,-,,
313,Donavon Greene,WR,GR.,-,-,-,-,-,316,-,-,-,,
314,Alex Afari Jr.,LB,SR.,-,-,-,-,-,-,229,-,-,,
315,Darian Chestnut,S,SR.,-,-,-,-,-,-,231,-,-,,
316,DaShawn Jones,CB,RS SR.,-,-,-,-,-,323,-,-,-,,
317,Al-Jay Henderson,RB,SR.,-,-,-,-,-,325,-,-,-,,
318,Chris Hilton Jr.,WR,RS SR.,-,-,-,-,-,326,-,-,-,,
319,Dean Miller,ED,RS SR.,-,-,-,-,-,330,-,-,-,,
320,Gunner Maldonado,S,SR.,-,-,-,-,-,332,-,-,-,,
321,Tanner Arkin,TE,SR.,-,-,-,-,-,334,-,-,-,,
322,Mo Westmoreland,ED,RS SR.,-,-,-,-,-,337,-,-,-,,
323,Amari Jackson,CB,-,-,-,-,-,-,339,-,-,-,,
324,Maverick McIvor,QB,GR.,-,-,-,-,-,341,-,-,-,,
325,Devin Mockobee,RB,SR.,-,-,-,-,-,342,-,-,-,,
326,Devonte Ross,WR,SR.,-,-,-,-,-,344,-,-,-,,
327,Jimmori Robinson,ED,RS SR.,-,-,-,-,-,345,-,-,-,,
328,Rohan Jones,TE,SR.,-,-,-,-,-,346,-,-,-,,
