Rank,Player Name,Position,College,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
115,Eli Raridon,TE,Notre Dame,Senior,6'7,251,4.78,,102,75,94,,,,,54,,
395,Jalon Kilgore,CB,South Carolina,Junior,6'1,211,,132,,,,,,,,55,,
80,Carson Beck,QB,Miami (FL),Senior,6'4,220,4.84,83,66,139,78,,,,,56,,
102,Tyreak Sapp,EDGE,Florida,Junior,6'3,272,4.76,101,87,88,90,,,,,57,,
153,John Michael Gyllenborg,TE,Wyoming,Senior,6'5,251,,160,,171,127,,,,,58,,
77,Drew Allar,QB,Penn State,Senior,6'5,235,4.9,122,110,165,98,,,,,59,,
503,Lee Hunter,DL,,,,,,,,30,40,,,,,60,,
22,T.J. Parker,EDGE,Clemson,Junior,6'3,265,4.65,23,14,21,23,,,24,,61,,
62,Deontae Lawson,LB,Alabama,Senior,6'2,228,4.6,48,48,78,49,,,,,62,,
157,Christian Gray,CB,Notre Dame,Junior,6'0,188,4.45,,217,,,,,,,63,,
26,Colton Hood,CB,Tennessee,Sophomore,6'0,195,4.43,29,25,24,26,,,21,,,,
32,Chris Johnson,CB,San Diego State,Senior,6'0,185,4.55,43,41,26,32,,,,,,,
34,Keith Abney II,CB,Arizona State,Junior,6'0,190,4.46,35,39,19,36,,,,,,,
58,Julian Neal,CB,Arkansas,Senior, 6'2,200,4.58,87,63,55,58,,,,,,,
59,Malik Muhammad,CB,Texas,Junior,6'0,198,4.47,108,64,63,61,,,,,,,
79,Davison Igbinosun,CB,Ohio State,Senior,6'2,195,4.34,148,120,40,66,,,,,,,
406,Devin Moore,CB,Florida,Senior,6'3,198,,339,,,70,,,,,,,
75,Chandler Rivers,CB,Duke,Senior,5'10,185,4.45,68,70,56,73,,,,,,,
112,Treydan Stukes,CB,Arizona,Senior,6'2,200,,266,,80,92,,,,,,,
109,Daylen Everette,CB,Georgia,Senior,6'1,190,4.34,73,78,,103,,,,,,,
118,Hezekiah Masses,CB,California,,,,,136,,76,104,,,,,,,
394,Xavier Scott,CB,Illinois,Senior,5'11,195,,106,91,,107,,,,,,,
91,Tacario Davis,CB,Washington,Senior,6'4,200,4.51,154,97,100,108,,,,,,,
123,Jermaine Mathews Jr.,CB,Ohio State,Junior,5'11,190,4.38,185,130,,137,,,,,,,
175,Thaddeus Dixon,CB,North Carolina,Senior,6'1,185,4.46,139,148,,139,,,,,,,
181,DJ Harvey,CB,USC,Senior,5'10,190,4.44,195,150,, ,,,,,,,
504,Kelley Jones,CB,,,,,,,,66,,,,,,,,
441,Preston Hodge,CB,,,,,,,209,73,,,,,,,,
125,Devon Marshall,CB,NC State,,,,,170,,77,,,,,,,,
188,Collin Wright,CB,Stanford,Senior,6'0,195,,361,,96,,,,,,,,
510,Jalen McMurray,CB,,,,,,,,117,,,,,,,,
511,Jadon Canady,CB,,,,,,,,121,,,,,,,,
40,TJ Hall,CB,Iowa,,,,,,,122,,,,,,,,
166,Brent Austin,CB,California,,,,,,,133,,,,,,,,
517,Cam Miller,CB,,,,,,,,144,,,,,,,,
187,Charles Demmings,CB,Stephen F. Austin,Senior,6'1,190,,363,,176,,,,,,,,
179,Josh Moten,CB,Southern Miss,Senior,6'0,185,4.43,212,145,,,,,,,,,
396,Jeadyn Lukas,CB,Clemson,Senior,6'2,200,,210,,,,,,,,,,
397,Raion Strader,CB,Pittsburg,,6'0,185,,218,,,,,,,,,,
398,Tyreek Chappell,CB,Texas A&M,Senior,5'11,180,,219,,,,,,,,,,
399,Jerry Wilson,CB,Florida State,Senior,5'10,185,,231,171,,,,,,,,,
400,Daniel Harris,CB,California,,6'3,195,,245,,,,,,,,,,
401,Stephen Hall,CB,Missouri,Senior,6'0,202,,283,,,,,,,,,,
402,Dashawn Jones,CB,Alabama,Senior,6'0,190,,302,,,,,,,,,,
404,Amari Jackson,CB,Maryland ,,5'11,190,,318,,,,,,,,,,
405,Marcus Allen,CB,North Carolina,Senior,6'2,190,,330,,,,,,,,,,
407,Toriano Pride Jr,CB,Missouri,Senior,5'11,188,,374,,,,,,,,,,
408,Avery Smith,CB,Toledo,Senior,5'10,185,,384,,,,,,,,,,
409,Ceyair Wright,CB,Nebraska,Senior,6'0,190,,393,,,,,,,,,,
410,Ricardo Hallman,CB,Wisconsin ,Graduated,5'10,190,,403,191,,,,,,,,,
426,Antonio Kite,CB,,,,,,,154,,,,,,,,,
430,Dijon Johnson,CB,,,,,,,181,,,,,,,,,
431,Ethan Conner,CB,,,,,,,184,,,,,,,,,
432,Jacobe Johnson,CB,,,,,,,187,,,,,,,,,
433,Tory Grimes,CB,,,,,,,190,,,,,,,,,
437,Damari Brown,CB,,,,,,,201,,,,,,,,,
438,Ja'Keem Jackson,CB,,,,,,,203,,,,,,,,,
439,Denver Harris,CB,,,,,,,205,,,,,,,,,
445,Fred Davis,CB,,,,,,,215,,,,,,,,,
