id,rank,name,pos,school,tier,consensusRank,sourceCount,grade,isGenerational,fantasyMultiplier,draftScore,fantasyRank
312,312,Al'Zillion Hamilton,CB,Fresno State,5,222,1,0,false,0.25,0,312
313,313,Raymond Cottrell,WR,Texas A&M,5,222.2,1,0,false,1.4,0,313
314,314,Joe Fagnano,QB,UCONN,5,222.3,2,0,false,1.6,0,314
315,315,Mel Brown,RB,UCONN,5,223.3,1,0,false,1.4,0,315
316,316,Jaquaize Pettaway,WR,East Carolina,5,224.4,1,0,false,1.4,0,316
317,317,Micah Davey,LB,UTEP,5,225,1,0,false,0.4,0,317
318,318,Ja'Keem Jackson,CB,LSU,5,225.6,1,0,false,0.25,0,318
319,319,Jacob De Jesus,WR,California,5,226,1,0,false,1.4,0,319
320,320,Ahmaad Moses,S,SMU,5,227.4,2,0,false,0.35,0,320
321,321,DQ Smith,S,South Carolina,5,227.4,2,0,false,0.35,0,321
322,322,Denver Harris,CB,UNLV,5,227.8,1,0,false,0.25,0,322
323,323,Behring Morton,QB,Texas Tech,5,228.9,2,0,false,1.6,0,323
324,324,Damari Lyons,DL,Florida,5,228.9,1,0,false,0.35,0,324
325,325,Mohamed Toure,LB,Miami (FL),5,229.3,2,0,false,0.4,0,325
326,326,Kendrick Law,WR,Kentucky,5,230,1,0,false,1.4,0,326
327,327,Nikai Martinez,S,Michigan State,5,230,1,0,false,0.35,0,327
328,328,Jeremiah Franklin,TE,Boston College,5,231.7,1,0,false,1.2,0,328
329,329,Malik Spencer,S,Michigan State,5,231.7,2,0,false,0.35,0,329
330,330,Dalton Johnson,S,Arizona,5,233,1,0,false,0.35,0,330
331,331,Kaleb Elarms-Orr,LB,TCU,5,234.1,3,0,false,0.4,0,331
332,332,Desmond Parnell,LB,Kansas State,5,234.8,3,0,false,0.4,0,332
333,333,Ayden Williams,WR,Mississippi State,5,235.6,1,0,false,1.4,0,333
334,334,Stephen Hall,CB,Missouri,5,235.8,1,0,false,0.25,0,334
335,335,Xavian Sorely Jr,LB,Arkansas,5,236.4,3,0,false,0.4,0,335
336,336,Keyshaun Elliot,LB,Arizona State,5,237.1,2,0,false,0.4,0,336
337,337,Michael Harris,LB,Maryland,5,237.8,1,0,false,0.4,0,337
338,338,Justin Jefferson,LB,Alabama,5,238.1,2,0,false,0.4,0,338
339,339,Grayson James,QB,Boston College,5,238.3,1,0,false,1.6,0,339
340,340,Austin Brown,S,Wisconsin,5,238.8,2,0,false,0.35,0,340
341,341,Fred Davis,CB,Northwestern,5,238.9,1,0,false,0.25,0,341
342,342,Emmanuel Henderson,WR,Kansas,5,239,1,0,false,1.4,0,342
343,343,Logan Diggs,RB,Ole Miss,5,239.2,1,0,false,1.4,0,343
344,344,Romello Brinson,WR,SMU,5,240.9,3,0,false,1.4,0,344
345,345,Jordan Hudson,WR,SMU,5,241,1,0,false,1.4,0,345
346,346,Tre Smith,EDGE,Arizona,5,243.3,1,0,false,0.5,0,346
347,347,Malik Benson,WR,Oregon,5,244,1,0,false,1.4,0,347
348,348,Mark Gronowski,QB,Iowa,5,244.2,1,0,false,1.6,0,348
349,349,Vinny Anthony,WR,Wisconsin,5,244.6,3,0,false,1.4,0,349
350,350,Walter Eget,QB,San Jose State,5,245,1,0,false,1.6,0,350
351,351,Makis Deal,DL,TCU,5,245.6,1,0,false,0.35,0,351
352,352,Donovan Greene,WR,Virginia Tech,5,245.8,1,0,false,1.4,0,352
353,353,Dasan McCullough,EDGE,Nebraska,5,246.3,2,0,false,0.5,0,353
354,354,Troy Bowles,LB,Michigan,5,246.7,1,0,false,0.4,0,354
355,355,Ben Bell,EDGE,Virginia Tech,5,247.5,2,0,false,0.5,0,355
356,356,Jalen Walthall,WR,Incarnate Word,5,247.6,2,0,false,1.4,0,356
357,357,Cormani McLain,CB,Florida,5,247.8,1,0,false,0.25,0,357
358,358,Squirrel White,WR,Florida Stare,5,248.3,2,0,false,1.4,0,358
359,359,CJ Donaldson,RB,Ohio State,5,248.4,2,0,false,1.4,0,359
360,360,Shad Banks Jr.,LB,UTSA,5,248.6,2,0,false,0.4,0,360
361,361,Reid Carrico,LB,West Virginia,5,248.9,1,0,false,0.4,0,361
362,362,Eli Heidenreich,WR,Navy,5,249,1,0,false,1.4,0,362
363,363,Damonic Williams,DL,Oklahoma,5,249.2,1,0,false,0.35,0,363
364,364,Scooby Williams,LB,Texas A&M,5,249.5,3,0,false,0.4,0,364
365,365,Star Thomas,RB,Tennessee,5,250,1,0,false,1.4,0,365
366,366,Tony Rojas,LB,Penn State,5,250,1,0,false,0.4,0,366
367,367,Hayes King,QB,Georgia Tech,5,250.2,2,0,false,1.6,0,367
368,368,RJ Maryland,TE,SMU,5,250.5,2,0,false,1.2,0,368
369,369,Wesley Bissainthe,LB,Miami (FL),5,250.8,1,0,false,0.4,0,369
370,370,Bauer Sharp,TE,LSU,5,251,2,0,false,1.2,0,370
371,371,Dashawn Jones,CB,Alabama,5,251.7,1,0,false,0.25,0,371
372,372,AI-Jay Henderson,RB,Buffalo,5,253.3,1,0,false,1.4,0,372
373,373,Branson Robinson,RB,Georgia State,5,253.3,1,0,false,1.4,0,373
374,374,Keaton Wade,EDGE,Colorado,5,254.4,1,0,false,0.5,0,374
375,375,Roydell Williams,RB,Florida State,5,255,2,0,false,1.4,0,375
376,376,Ceyair Wright,CB,Nebraska,5,255.6,1,0,false,0.25,0,376
377,377,Dean Miller,EDGE,Kansas,5,257.5,1,0,false,0.5,0,377
378,378,Korey Foreman,EDGE,Fresno State,5,257.8,1,0,false,0.5,0,378
379,379,Namdi Obiazor,LB,TCU,5,258.7,2,0,false,0.4,0,379
380,380,Sage Ryan,S,Ole Miss,5,258.9,1,0,false,0.35,0,380
381,381,Gunner Maldonado,S,Kansas State,5,259.2,1,0,false,0.35,0,381
382,382,Anthony Hankerson,RB,Oregon State,5,259.6,2,0,false,1.4,0,382
383,383,Nyjalik Kelly,EDGE,UCF,5,259.7,2,0,false,0.5,0,383
384,384,Tanner Arkin,TE,Illinois,5,260.8,1,0,false,1.2,0,384
385,385,Keyon Ware-Hudson,DL,Oregon,5,261.1,1,0,false,0.35,0,385
386,386,Karon Prunty,CB,Wake Forrest,5,261.8,2,0,false,0.25,0,386
387,387,Keshawn Silver,DL,USC,5,262.2,3,0,false,0.35,0,387
388,388,Ty Thompson,TE,Tulane,5,262.2,1,0,false,1.2,0,388
389,389,Jackie Marshall,EDGE,Baylor,5,262.3,2,0,false,0.5,0,389
390,390,Mo Westmoreland,EDGE,Tulane,5,263.3,1,0,false,0.5,0,390
391,391,Preston Stone,QB,Northwestern,5,263.3,1,0,false,1.6,0,391
392,392,Jason Henderson,LB,Old Dominion,5,264.4,1,0,false,0.4,0,392
393,393,Clayton Smith,DL,Arizona State,5,264.8,2,0,false,0.35,0,393
394,394,Amari Jackson,CB,Maryland,5,265,1,0,false,0.25,0,394
395,395,Latrell McCutchin Sr.,CB,Houston,5,265,2,0,false,0.25,0,395
396,396,Dylan Brooks,EDGE,Kansas,5,265.6,1,0,false,0.5,0,396
397,397,Kendal Daniels,S,Oklahoma,5,266.5,2,0,false,0.35,0,397
398,398,Gabriel Rubio,DL,Norte Dame,5,266.7,1,0,false,0.35,0,398
399,399,Devin Mockobee,RB,Purdue,5,267.5,1,0,false,1.4,0,399
400,400,Avante Dickerson,CB,Arkansas State,5,267.8,1,0,false,0.25,0,400
401,401,Devonte Ross,WR,Penn State,5,268.3,1,0,false,1.4,0,401
402,402,Jimmori Robinson,EDGE,West Virginia,5,269.2,1,0,false,0.5,0,402
403,403,Rohan Jones,TE,Arkansas,5,270,1,0,false,1.2,0,403
404,404,Kentrell Bullock,RB,South Alabama,5,270.9,2,0,false,1.4,0,404
405,405,Armoni Goodwin,RB,Utah Martin,5,271.1,1,0,false,1.4,0,405
406,406,Christian Leary,WR,Western Michigan,5,272.2,1,0,false,1.4,0,406
407,407,Jojo Earle,WR,UNLV,5,273.3,1,0,false,1.4,0,407
408,408,Luke Hasz,TE,Ole Miss,5,273.3,2,0,false,1.2,0,408
409,409,Dacari Collins,WR,Louisville,5,274.4,1,0,false,1.4,0,409
410,410,Marcus Allen,CB,North Carolina,5,275,1,0,false,0.25,0,410
411,411,Malcom Greene,CB,Massachusetts,5,275.6,1,0,false,0.25,0,411
412,412,JJ Johnson,S,North Carolina,5,275.8,1,0,false,0.35,0,412
413,413,Kobe Prentice,WR,Baylor,5,276.5,2,0,false,1.4,0,413
414,414,Tyreek Chappell,S,Texas A&M,5,276.7,1,0,false,0.35,0,414
415,415,Dominic Zvada,K,Michigan,5,277.9,2,0,false,0.4,0,415
416,416,Jaiden Ausberry,LB,Notre Dame,5,278.9,1,0,false,0.4,0,416
417,417,Dominic Bailey,EDGE,Tennessee,5,279,1,0,false,0.5,0,417
418,418,Aiden Hubbard,EDGE,Northwestern,5,280,2,0,false,0.5,0,418
419,419,Ricardo Hallman,CB,Wisconsin,5,280.7,3,0,false,0.25,0,419
420,420,Makari Vickers,CB,Colorado,5,281.1,1,0,false,0.25,0,420
421,421,Maverick McIvor,QB,Western Kentucky,5,281.8,2,0,false,1.6,0,421
422,422,Mathew Hiberner,TE,SMU,5,282.3,2,0,false,1.2,0,422
423,423,Marvin Jones Jr,EDGE,Oklahoma,5,282.6,2,0,false,0.5,0,423
424,424,Shyheim Brown,S,Florida State,5,283.3,1,0,false,0.35,0,424
425,425,Phillip Dunham,S,UCF,5,284.3,2,0,false,0.35,0,425
426,426,Jahmal Edrine,WR,Virginia,5,285,1,0,false,1.4,0,426
427,427,Damon Payne,DL,Michigan,5,285.6,1,0,false,0.35,0,427
428,428,Malik Rutherford,WR,Georgia Tech,5,285.8,1,0,false,1.4,0,428
429,429,Sam Huard,QB,USC,5,287.8,1,0,false,1.6,0,429
430,430,Da'Shawn Womack,EDGE,Auburn,5,288.3,1,0,false,0.5,0,430
431,431,Nyland Green,CB,Arizona Stare,5,288.9,1,0,false,0.25,0,431
432,432,Davon Booth,RB,Mississippi State,5,289.2,2,0,false,1.4,0,432
433,433,Max Tomczak,WR,Youngstown State,5,289.4,2,0,false,1.4,0,433
434,434,Blake Shapen,QB,Mississippi State,5,289.9,3,0,false,1.6,0,434
435,435,Prince Kollie,LB,Vanderbilt,5,290,1,0,false,0.4,0,435
436,436,Will Whitson,EDGE,Mississippi State,5,290,1,0,false,0.5,0,436
437,437,Tyler Van Dyke,QB,SMU,5,290.4,2,0,false,1.6,0,437
438,438,Byron Caldwell Jr,RB,San Diego State,5,291.1,1,0,false,1.4,0,438
439,439,Toriano Pride Jr,CB,Missouri,5,291.3,2,0,false,0.25,0,439
440,440,Wade Woodaz,LB,Clemson,5,291.7,1,0,false,0.4,0,440
441,441,Chamon Metayer,TE,Arizona State,5,291.8,2,0,false,1.2,0,441
442,442,Johnathan Jefferson,DL,SMU,5,292.2,1,0,false,0.35,0,442
443,443,Jaden Bray,WR,West Virginia,5,293.3,1,0,false,1.4,0,443
444,444,Angel Johnson,RB,Washington State,5,294.2,1,0,false,1.4,0,444
445,445,Demon Clowney,LB,South Carolina,5,294.4,1,0,false,0.4,0,445
446,446,Amari Niblack,TE,Texas A&M,5,295.8,1,0,false,1.2,0,446
447,447,Avery Smith,CB,Toledo,5,296.5,2,0,false,0.25,0,447
448,448,Sav'ell Smalls,TE,Colorado,5,296.7,1,0,false,1.2,0,448
449,449,Chris Hilton Jr,WR,LSU,5,297.6,2,0,false,1.4,0,449
450,450,Mathew Stuka,QB,James Madison,5,297.8,1,0,false,1.6,0,450
451,451,Reggie Grimes II,DL,Memphis,5,298.9,1,0,false,0.35,0,451
452,452,EJ Williams,WR,Indiana,5,300,1,0,false,1.4,0,452
453,453,Stephen Dix Jr.,LB,Arkansas,5,301.1,1,0,false,0.4,0,453
454,454,Kendal Dolby,S,Mississippi State,5,301.7,1,0,false,0.35,0,454
455,455,Jaleel Skinner,TE,Louisville,5,302.2,1,0,false,1.2,0,455
456,456,Shawn Murphy,LB,South Carolina,5,304.4,1,0,false,0.4,0,456
457,457,Jerand Bradley,WR,Kansas State,5,305.6,1,0,false,1.4,0,457
458,458,Cash Jones,RB,Oregon State,5,305.8,2,0,false,1.4,0,458
459,459,Jay Green,S,Stanford,5,305.8,1,0,false,0.35,0,459
460,460,Kaiden Salter,QB,Colorado,5,305.8,2,0,false,1.6,0,460
461,461,Trey Cooley,RB,Georgia Tech,5,307.8,1,0,false,1.4,0,461
462,462,Will Ferrin,K,BYU,5,308.5,2,0,false,0.4,0,462
463,463,LJ Johnson,RB,Cal,5,308.9,1,0,false,1.4,0,463
464,464,Jacobian Guillory,DL,LSU,5,309.2,1,0,false,0.35,0,464
465,465,Jaylin Davies,CB,Oklahoma Stare,5,310,1,0,false,0.25,0,465
466,466,Roy Williams,EDGE,Northern Illinois,5,310,1,0,false,0.5,0,466
467,467,Jordan Mosley,WR,Mississippi State,5,310.8,1,0,false,1.4,0,467
468,468,Keanu Koht,LB,Vanderbilt,5,312.2,1,0,false,0.4,0,468
469,469,DT Sheffield,WR,Rutgers,5,312.8,2,0,false,1.4,0,469
470,470,Chase Mason,QB,South Dakota State,5,313.3,1,0,false,1.6,0,470
471,471,Deion Colzie,WR,Miami Ohio,5,313.3,1,0,false,1.4,0,471
472,472,Jaquez Moore,RB,Duke,5,314.2,1,0,false,1.4,0,472
473,473,Raesjon Davis,LB,Oregon State,5,314.4,1,0,false,0.4,0,473
474,474,Miles Capers,EDGE,Vanderbilt,5,315,1,0,false,0.5,0,474
475,475,Drew Stevens,K,Iowa,5,315.6,2,0,false,0.4,0,475
476,476,Jeff Sims,QB,Arizona State,5,316.7,1,0,false,1.6,0,476
477,477,Key Lawrence,S,UCLA,5,317.8,1,0,false,0.35,0,477
478,478,DJ Graham II,CB,Kansas,5,318.9,1,0,false,0.25,0,478
479,479,Sam M'Pemba,LB,Texas A&M,5,320,1,0,false,0.4,0,479
480,480,Jayden Ballard,WR,Wisconsin,5,321.1,1,0,false,1.4,0,480
481,481,Zach Calzada,QB,Kentucky,5,321.3,2,0,false,1.6,0,481
482,482,Stephen Thompson,LB,Florida Stare,5,322.2,1,0,false,0.4,0,482
483,483,Jalen Berger,RB,UCLA,5,323.3,1,0,false,1.4,0,483
484,484,Matt Lauter,TE,Boise State,5,323.3,1,0,false,1.2,0,484
485,485,Raul Aguirre Jr,LB,Miami,5,324.4,1,0,false,0.4,0,485
486,486,Corey Walker,EDGE,Wisconsin,5,325,1,0,false,0.5,0,486
487,487,Jeremiah Walker,CB,Stephen Austin,5,325.6,1,0,false,0.25,0,487
488,488,Jack Kelly,LB,BYU,5,325.8,1,0,false,0.4,0,488
489,489,Hank Brown,QB,Iowa,5,326.7,1,0,false,1.6,0,489
490,490,Ceyair Wright,CB,Nebraska,5,327.5,1,0,false,0.25,0,490
491,491,Jared Brown,WR,South Carolina,5,327.8,1,0,false,1.4,0,491
492,492,Kevin Gilliam Jr.,DL,Virginia Tech,5,328.9,1,0,false,0.35,0,492
493,493,Jordan Pollard,LB,San Jose State,5,329.2,1,0,false,0.4,0,493
494,494,Elliot Donald,DL,Pittsburg,5,330,1,0,false,0.35,0,494
495,495,Cade Denhoff,EDGE,Clemson,5,331.1,1,0,false,0.5,0,495
496,496,Caleb Fauria,TE,Delaware,5,331.7,1,0,false,1.2,0,496
497,497,Ethan Calvert,LB,Cal Ploy,5,332.2,1,0,false,0.4,0,497
498,498,Tywone Malone Jr.,DL,Ohio State,5,333.3,1,0,false,0.35,0,498
499,499,Cody Jackson,WR,Tarleton State,5,334.4,1,0,false,1.4,0,499
500,500,Jayden Williams,S,UCF,5,335,1,0,false,0.35,0,500
501,501,Alton McCaskill,RB,Sam Houston,5,335.6,1,0,false,1.4,0,501
502,502,Kam Olds,EDGE,Kentucky,5,336.7,1,0,false,0.5,0,502
503,503,Rodrick Pleasent,CB,UCLA,5,336.7,1,0,false,0.25,0,503
504,504,David Daniel Sisavah,S,Troy,5,337.8,1,0,false,0.35,0,504
505,505,Triston Newsom,LB,Missouri,5,338.3,1,0,false,0.4,0,505
506,506,Lorenzo Styles,S,Ohio State,5,338.9,1,0,false,0.35,0,506
507,507,Damarius McGhee,CB,Florida Atlantic,5,340,1,0,false,0.25,0,507
508,508,Ja'Mori Mackin,WR,Kentucky,5,340,1,0,false,1.4,0,508
509,509,Derrick Davis Jr,RB,Pittsburg,5,342.2,1,0,false,1.4,0,509
510,510,Rara Thomas,WR,Troy,5,343.3,1,0,false,1.4,0,510
511,511,Bryce Carter,EDGE,Texas State,5,344.4,1,0,false,0.5,0,511
512,512,Prophet Brown,CB,USC,5,345.6,1,0,false,0.25,0,512
513,513,Ryan Niblet,WR,Texas,5,345.6,1,0,false,1.4,0,513
514,514,Drew Payne,QB,Bowling Green,5,346.7,1,0,false,1.6,0,514
515,515,Nyziah Hunter,WR,Nebraska,5,347.8,1,0,false,1.4,0,515
516,516,Micah Pittman,WR,Utah,5,348.9,1,0,false,1.4,0,516
517,517,Demorie Tate,CB,Florida A&M,5,350,1,0,false,0.25,0,517
518,518,Dylan Morris,QB,James Madison,5,351.1,1,0,false,1.6,0,518
519,519,Darnell Jeffries,DL,Minnesota,5,352.2,1,0,false,0.35,0,519
