id,rank,name,pos,school,tier,consensusRank,sourceCount,grade,isGenerational,fantasyMultiplier,draftScore,fantasyRank
70,70,Will Lee III,CB,Texas A&M,4,72.8,7,1.9,false,0.25,0.48,138
71,71,Derrick Moore,EDGE,Michigan,4,74.3,7,1.9,false,0.5,0.95,96
72,72,Anthony Lucas,EDGE,USC,4,74.8,6,1.9,false,0.5,0.95,97
73,73,Ahmad Moten Sr.,DL,Miami (FL),4,76,4,1.8,false,0.35,0.63,120
74,74,Dontay Corleone,DL,Cincinnati,4,76.1,6,1.8,false,0.35,0.63,121
75,75,Michael Trigg,TE,Baylor,4,77.5,6,1.8,false,1.2,2.16,35
76,76,Arion Carter,LB,Tennessee,4,78,1,1.8,false,0.4,0.72,110
77,77,Emmett Johnson,RB,Nebraska,4,80.4,5,1.7,false,1.4,2.38,31
78,78,Malachi Fields,WR,Notre Dame,4,81.9,7,1.7,false,1.4,2.38,32
79,79,Tyreak Sapp,EDGE,Florida,4,82.2,7,1.7,false,0.5,0.85,103
80,80,Garrett Nussmeier,QB,LSU,4,82.4,7,1.7,true,1.6,2.72,26
81,81,Carson Beck,QB,Miami (FL),4,82.4,6,1.7,false,1.6,2.72,27
82,82,Jalon Kilgore,CB,South Carolina,4,82.5,2,1.7,false,0.25,0.43,144
83,83,Genesis Smith,S,Arizona,4,83.4,6,1.7,false,0.35,0.6,122
84,84,Daylen Everette,CB,Georgia,4,85.2,5,1.6,false,0.25,0.4,153
85,85,Harold Perkins,LB,LSU,4,85.3,7,1.6,false,0.4,0.64,117
86,86,Michael Taaffe,S,Texas,4,85.5,4,1.6,false,0.35,0.56,129
87,87,Deion Burks,WR,Oklahoma,4,85.8,6,1.6,false,1.4,2.24,33
88,88,Clay Patterson,DL,Stanford,4,86,1,1.6,false,0.35,0.56,130
89,89,Jaishawn Barham,LB,Michigan,4,86.1,5,1.6,false,0.4,0.64,118
90,90,Davison Igbinosun,CB,Ohio State,4,86.1,6,1.6,false,0.25,0.4,154
91,91,Skyler Bell,WR,UConn,4,86.6,5,1.6,false,1.4,2.24,34
92,92,Zakee Wheatley,S,Penn State,4,88.5,6,1.5,false,0.35,0.52,135
93,93,Trinidad Chambliss,QB,Mississippi,4,90,6,1.5,false,1.6,2.4,30
94,94,Nick Singleton,RB,Penn State,4,93.9,5,1.4,false,1.4,1.96,39
95,95,Cian Sloan,LB,North Carolina State,4,94,1,1.4,false,0.4,0.56,131
96,96,Jacob Rodriguez,LB,Texas Tech,4,94,6,1.4,false,0.4,0.56,132
97,97,Kaytron Allen,RB,Penn State,4,94.7,6,1.4,false,1.4,1.96,40
98,98,Demond Claiborne,RB,Wake Forest,4,95.1,7,1.4,false,1.4,1.96,41
99,99,Mikail Kamara,EDGE,Indiana,4,95.2,4,1.4,false,0.5,0.7,114
100,100,Jack Endries,TE,Texas,4,96.7,6,1.4,false,1.2,1.68,45
101,101,Joe Royer,TE,Cincinnati,5,102.9,3,1.3,false,1.2,1.56,50
102,102,Justin Joly,TE,NC State,5,103.8,5,1.2,false,1.2,1.44,58
103,103,C.J. Daniels,WR,Miami (FL),5,104.2,5,1.2,false,1.4,1.68,46
104,104,Jaheim Lawson,EDGE,Clemson,5,104.4,1,1.2,false,0.5,0.6,123
105,105,Drew Allar,QB,Penn State,5,105.2,6,1.2,false,1.6,1.92,43
106,106,DeMonte Capehart,DL,Clemson,5,105.6,6,1.2,false,0.35,0.42,145
107,107,Joe Royer,TE,Cincinnati,5,107.5,3,1.2,false,1.2,1.44,59
108,108,Malachi Lawrence,EDGE,UCF,5,107.7,5,1.2,false,0.5,0.6,124
109,109,Wesley Williams,EDGE,Duke,5,108,1,1.2,false,0.5,0.6,125
110,110,Domani Jackson,CB,Alabama,5,108.5,6,1.2,false,0.25,0.3,183
111,111,Seth McGowan,RB,Kentucky,5,108.8,2,1.1,false,1.4,1.54,51
112,112,Wydett Williams,S,Ole Miss,5,108.9,2,1.1,false,0.35,0.39,158
113,113,Eli Raridon,TE,Notre Dame,5,109,5,1.1,false,1.2,1.32,66
114,114,Tacario Davis,CB,Washington,5,109,5,1.1,false,0.25,0.28,185
115,115,Aaron Anderson,WR,LSU,5,110.7,6,1.1,false,1.4,1.54,52
116,116,Zxavian Harris,DL,Mississippi,5,110.8,5,1.1,false,0.35,0.39,159
117,117,Hezekiah Masses,CB,California,5,110.8,4,1.1,false,0.25,0.28,186
118,118,Kevin Coleman Jr.,WR,Missouri,5,111.1,6,1.1,false,1.4,1.54,53
119,119,Kyle Louis,LB,Pittsburgh,5,111.5,5,1.1,false,0.4,0.44,143
